codigo_cnv,id_detalle_cnv,denominacion_cnv,verificado_por,curado_en
1310,85364,AXIS ESTRATEGIA 1,nombre,2026-08-23
1311,85365,AXIS ROSENTAL FCI ABIERTO PYMES,nombre,2026-08-23
1312,85432,GAINVEST GLOBAL V,nombre,2026-08-23
1313,85433,GAINVEST GLOBAL VI,nombre,2026-08-23
1314,85445,Superfondo Sustentable Fondo Común de Inversión  ASG,nombre,2026-08-23
1315,85382,CICLO NOVA MULTIESTRATEGIA II,nombre,2026-08-23
1316,85383,CICLO NOVA MULTIESTRATEGIA III,nombre,2026-08-23
1317,85384,CICLO NOVA MULTIESTRATEGIA IV,nombre,2026-08-23
1318,85385,CICLO NOVA MULTIESTRATEGIA V,nombre,2026-08-23
1319,85421,CHAMPAQUÍ FONDO INMEDIATO PLUS,nombre,2026-08-23
1322,85483,DRACMA RENTA AHORRO FONDO COMUN DE INVERSION,nombre,2026-08-23
1326,85720,TORONTO TRUST GESTIÓN F.C.I.,nombre,2026-08-23
1328,86322,DELTA AHORRO DÓLARES,nombre,2026-08-23
1332,85493,OPTIMUM BALANCED STRATEGY FCI,nombre,2026-08-23
1335,85505,Adcap Balanceado XII,nombre,2026-08-23
1336,85501,Adcap Patrimonio IV,nombre,2026-08-23
1337,85502,Alycbur Renta Cobertura,nombre,2026-08-23
1339,85504,Adcap Balanceado X,nombre,2026-08-23
1341,85636,ACA VALORES RETORNO TOTAL F.C.I.,nombre,2026-08-23
1342,85637,SCHRODER PATRIMONIO DOS F.C.I.,nombre,2026-08-23
1344,85627,Compass Renta Mixta II FCI,nombre,2026-08-23
1345,85628,Compass Renta Fija V FCI,nombre,2026-08-23
1346,86194,CICLO NOVA Renta Fija Dólar 2,nombre,2026-08-23
1347,85775,MAF LIQUIDEZ,nombre,2026-08-23
1348,85735,ARGENFUNDS Inversión Pesos F.C.I.,nombre,2026-08-23
1349,85736,ARGENFUNDS Inversión Dolares F.C.I.,nombre,2026-08-23
1350,85737,ARGENFUNDS Gestión Pesos F.C.I.,nombre,2026-08-23
1351,85657,FCI Galileo Multimercado V,nombre,2026-08-23
1352,85658,FCI Galileo Multimercado VI,nombre,2026-08-23
1356,85646,PIONERO PATRIMONIO I,nombre,2026-08-23
1357,85647,PIONERO MONEDA,nombre,2026-08-23
1358,85648,PIONERO CRECIMIENTO,nombre,2026-08-23
1359,85649,PIONERO RECOVERY,nombre,2026-08-23
1360,85731,GAINVEST GLOBAL VII,nombre,2026-08-23
1361,85732,GAINVEST GLOBAL VIII,nombre,2026-08-23
1362,85733,GAINVEST GLOBAL IX,nombre,2026-08-23
1363,85897,QUIRON MONEY MARKET FONDO COMUN DE INVERSION,nombre,2026-08-23
1365,85762,GMC MONEY MARKET,nombre,2026-08-23
1366,85991,CHAMPAQUÍ RENTA FUTURA,nombre,2026-08-23
1367,85840,AXIS S&C ARGENTINA ABSOLUTE RETURN,nombre,2026-08-23
1369,85892,AXIS BRIO VALORES I,nombre,2026-08-23
1370,85893,AXIS ESTRATEGIA 6,nombre,2026-08-23
1373,85871,NOVUS GESTION FCI,nombre,2026-08-23
1374,85872,NOVUS MULTIESTRATEGIA FCI,nombre,2026-08-23
1375,85873,NOVUS RENTA MIXTA FCI,nombre,2026-08-23
1376,85874,NOVUS PERFORMANCE FCI,nombre,2026-08-23
1377,85875,NOVUS INCOME FCI,nombre,2026-08-23
1378,85876,NOVUS RENTA FIJA FCI,nombre,2026-08-23
1379,85905,GMC RETORNO TOTAL II,nombre,2026-08-23
1380,85908,SCHRODER RETORNO TOTAL CUATRO F.C.I.,nombre,2026-08-23
1381,86498,ARGENFUNDS Financiamiento Pesos F.C.I.,nombre,2026-08-23
1382,85906,Adcap Balanceado III,nombre,2026-08-23
1384,85909,Adcap Balanceado XXVI,nombre,2026-08-23
1386,85956,Adcap Balanceado XVI,nombre,2026-08-23
1387,85957,Adcap Balanceado XVII,nombre,2026-08-23
1388,85958,ADCAP BALANCE MULTIACTIVO,nombre,2026-08-23
1389,85986,TORONTO TRUST BALANCEADO F.C.I.,nombre,2026-08-23
1390,86004,Premier FCI Sustentable ASG,nombre,2026-08-23
1391,86144,MAX RENTA FIJA LATAM FCI,nombre,2026-08-23
1392,86145,MAX ESTRATÉGICO V FCI,nombre,2026-08-23
1393,86146,MAX DINÁMICO I FCI,nombre,2026-08-23
1394,86147,MAX DINÁMICO II FCI,nombre,2026-08-23
1395,86148,MAX DINÁMICO III FCI,nombre,2026-08-23
1396,86149,MAX DINÁMICO IV FCI,nombre,2026-08-23
1397,86150,MAX DINÁMICO V FCI,nombre,2026-08-23
1398,86151,MAX MULTIGESTIÓN I FCI,nombre,2026-08-23
1399,86152,MAX MULTIGESTIÓN II FCI,nombre,2026-08-23
1401,86165,BAVSA PESOS PLUS FCI,nombre,2026-08-23
1405,86207,BAMBA AGRONEGOCIOS,nombre,2026-08-23
1406,86208,AXIS ESTRATEGIA 8,nombre,2026-08-23
1408,86210,AXIS ESTRATEGIA 10,nombre,2026-08-23
1409,86211,AXIS ESTRATEGIA 11,nombre,2026-08-23
1410,86212,AXIS ESTRATEGIA 12,nombre,2026-08-23
1411,86171,ALLARIA DÓLAR DINÁMICO FCI,nombre,2026-08-23
1412,86196,GAINVEST BALANCEADO VI,nombre,2026-08-23
1413,86197,GAINVEST BALANCEADO VII,nombre,2026-08-23
1414,86198,GAINVEST BALANCEADO VIII,nombre,2026-08-23
1415,86265,PIONERO INTEGRAL,nombre,2026-08-23
1417,86267,PIONERO ABIERTO,nombre,2026-08-23
1418,86268,PIONERO OPORTUNIDAD,nombre,2026-08-23
1419,86184,Adcap Verde y Sustentable ASG,nombre,2026-08-23
1420,86269,VALIANT RENTA FIJA BALANCEADO I FCI,nombre,2026-08-23
1421,86270,VALIANT RENTA FIJA BALANCEADO II FCI,nombre,2026-08-23
1422,86205,ADCAP ASB MULTIACTIVO,nombre,2026-08-23
1423,86307,FCI GALILEO MULTIMERCADO VII,nombre,2026-08-23
1424,86308,FCI GALILEO MULTIMERCADO VIII,nombre,2026-08-23
1425,86309,FCI GALILEO MULTIMERCADO IX,nombre,2026-08-23
1426,86374,FIMA RENTA FIJA DOLARES,nombre,2026-08-23
1427,86375,FIMA MIX DOLARES,nombre,2026-08-23
1429,86292,ALLARIA GESTIÓN II FCI,nombre,2026-08-23
1430,86293,ALLARIA AGRO FCI,nombre,2026-08-23
