raiz_emision,motivo
PFC3,"sin código en ARCA (nuestras especies: ['PFC3D', 'PFC3O']) — esperable si la emisión empezó a cotizar después del 31/12/2025"
PHC4,"sin código en ARCA (nuestras especies: ['PHC4D', 'PHC4O']) — esperable si la emisión empezó a cotizar después del 31/12/2025"
PLC6,"sin código en ARCA (nuestras especies: ['PLC6C', 'PLC6D', 'PLC6O']) — esperable si la emisión empezó a cotizar después del 31/12/2025"
PLC7,"sin código en ARCA (nuestras especies: ['PLC7C', 'PLC7D', 'PLC7O']) — esperable si la emisión empezó a cotizar después del 31/12/2025"
PN43,"sin código en ARCA (nuestras especies: ['PN43C', 'PN43D', 'PN43O']) — esperable si la emisión empezó a cotizar después del 31/12/2025"
PS37,"sin código en ARCA (nuestras especies: ['PS37C', 'PS37D', 'PS37O']) — esperable si la emisión empezó a cotizar después del 31/12/2025"
PS38,"sin código en ARCA (nuestras especies: ['PS38C', 'PS38D', 'PS38O']) — esperable si la emisión empezó a cotizar después del 31/12/2025"
PVC3,"sin código en ARCA (nuestras especies: ['PVC3C', 'PVC3D', 'PVC3O']) — esperable si la emisión empezó a cotizar después del 31/12/2025"
PVC4,sin código en ARCA (nuestras especies: ['PVC4O']) — esperable si la emisión empezó a cotizar después del 31/12/2025
RC4C,"sin código en ARCA (nuestras especies: ['RC4CC', 'RC4CD', 'RC4CO']) — esperable si la emisión empezó a cotizar después del 31/12/2025"
RC5C,"sin código en ARCA (nuestras especies: ['RC5CC', 'RC5CD', 'RC5CO']) — esperable si la emisión empezó a cotizar después del 31/12/2025"
RC6C,"sin código en ARCA (nuestras especies: ['RC6CC', 'RC6CD', 'RC6CO']) — esperable si la emisión empezó a cotizar después del 31/12/2025"
RDS1L,sin código en ARCA (nuestras especies: ['RDS1L']) — esperable si la emisión empezó a cotizar después del 31/12/2025
RUCE,"sin código en ARCA (nuestras especies: ['RUCEC', 'RUCED', 'RUCEO']) — esperable si la emisión empezó a cotizar después del 31/12/2025"
RZBA,"sin código en ARCA (nuestras especies: ['RZBAC', 'RZBAD', 'RZBAO']) — esperable si la emisión empezó a cotizar después del 31/12/2025"
RZBB,"sin código en ARCA (nuestras especies: ['RZBBC', 'RZBBD', 'RZBBO']) — esperable si la emisión empezó a cotizar después del 31/12/2025"
RZBC,"sin código en ARCA (nuestras especies: ['RZBCC', 'RZBCD', 'RZBCO']) — esperable si la emisión empezó a cotizar después del 31/12/2025"
SBC2,"sin código en ARCA (nuestras especies: ['SBC2C', 'SBC2D', 'SBC2O']) — esperable si la emisión empezó a cotizar después del 31/12/2025"
SBC3,"sin código en ARCA (nuestras especies: ['SBC3C', 'SBC3D', 'SBC3O']) — esperable si la emisión empezó a cotizar después del 31/12/2025"
SIC2,"sin código en ARCA (nuestras especies: ['SIC2C', 'SIC2D', 'SIC2O']) — esperable si la emisión empezó a cotizar después del 31/12/2025"
SNEA,"sin código en ARCA (nuestras especies: ['SNEAC', 'SNEAD', 'SNEAO']) — esperable si la emisión empezó a cotizar después del 31/12/2025"
SNEB,"sin código en ARCA (nuestras especies: ['SNEBC', 'SNEBD', 'SNEBO']) — esperable si la emisión empezó a cotizar después del 31/12/2025"
STCF,"sin código en ARCA (nuestras especies: ['STCFC', 'STCFD', 'STCFO']) — esperable si la emisión empezó a cotizar después del 31/12/2025"
STCG,"sin código en ARCA (nuestras especies: ['STCGC', 'STCGD', 'STCGO']) — esperable si la emisión empezó a cotizar después del 31/12/2025"
STCH,"sin código en ARCA (nuestras especies: ['STCHC', 'STCHD', 'STCHO']) — esperable si la emisión empezó a cotizar después del 31/12/2025"
SXC3,"sin código en ARCA (nuestras especies: ['SXC3C', 'SXC3D', 'SXC3O']) — esperable si la emisión empezó a cotizar después del 31/12/2025"
