ticker_papel,nombre_largo,mercado_origen,sic_titulo,estrategia_etf,pais,fuente,verificado
MSTR,Microstrategy Inc Cl A New,NASDAQ GS,Finance Services,,,,
MU,Micron Technology Inc,NASDAQ GS,Semiconductors & Related Devices,,,,
MUFG,Mitsubishi Ufj Financial Group,NYSE,"Commercial Banks, NEC",,,,
MUX,McEwen Mining Inc,NYSE,Gold and Silver Ores,,,,
NAT3D,,,,,,,
NATU3,NATURA COSMETICOS SA,B3,,,,,
NBIS,Nebius Group N.V.,NASDAQ GS,"Services-Computer Programming, Data Processing, Etc.",,,,
NEC1,,,,,,,
NEE,"NextEra Energy, Inc.",NYSE,Electric Services,,,,
NEM,Newmont Corporation,NYSE,Gold and Silver Ores,,,,
NFLX,"Netflix, Inc.",NASDAQ,Services-Video Tape Rental,,,,
NG,Novagold Resources INC.,NYSE,Gold and Silver Ores,,,,
NGG,National Grid Plc,NYSE,Natural Gas Transmission,,,,
NIO,NIO Inc.,NYSE,Motor Vehicles & Passenger Car Bodies,,,,
NKE,Nike Inc.,NYSE,Rubber & Plastics Footwear,,,,
NMR,"Nomura Holdings, Inc",NYSE,"Security Brokers, Dealers & Flotation Companies",,,,
NOKA,Nokia Corporation,NYSE,,,,,
NOW,SERVICENOW INC,NYSE,Services-Prepackaged Software,,,,
NSAN,"Nissan Motor Co., Ltd",OTC US,,,,,
NTES,"Netease, Inc",NASDAQ,Services-Prepackaged Software,,,,
NU,Nu Holdings Ltd.,,Finance Services,,,,
NUE,Nucor Corp,NYSE,"Steel Works, Blast Furnaces & Rolling Mills (Coke Ovens)",,,,
NVDA,Nvidia Corporation,NASDAQ,Semiconductors & Related Devices,,,,
NVO,NOVO NORDISK A/S,NYSE,Pharmaceutical Preparations,,,,
NVS,Novartis Ag,NYSE,Pharmaceutical Preparations,,,,
NXE,Nexgen Energy LTD,NYSE,Miscellaneous Metal Ores,,,,
O,Realty Income Corp.,NYSE,Real Estate Investment Trusts,,,,
OC,Owens Corning,,"Abrasive, Asbestos & Misc Nonmetallic Mineral Prods",,,,
OD,,,,,,,
OKLO,Oklo Inc,NYSE,Electric Services,,,,
ONDS,Ondas Holdings Inc.,NASDAQ CM,Radio & Tv Broadcasting & Communications Equipment,,,,
ORCL,Oracle Corporation,NYSE,Services-Prepackaged Software,,,,
ORLY,O'reilly Automotive Inc,NASDAQ,Retail-Auto & Home Supply Stores,,,,
OXY,Occidental Petroleum Corp.,NYSE,Crude Petroleum & Natural Gas,,,,
PAAS,Pan American Silver Corp.,NASDAQ,Gold and Silver Ores,,,,
PAC,"Grupo Aeroportuario del Pacifico, S.A.B. de C.V.",NYSE,"Airports, Flying Fields & Airport Terminal Services",,,,
PAGS,Pagseguro Digital Ltd,NYSE,Services-Computer Processing & Data Preparation,,,,
PANW,Palo Alto Networks Inc,NASDAQ GS,"Computer Peripheral Equipment, NEC",,,,
PATH,UIPATH INC,NYSE,Services-Prepackaged Software,,,,
PBI,Pitney Bowes Inc,NYSE,"Office Machines, NEC",,,,
PBR,Petrobras (ADR),NYSE,Crude Petroleum & Natural Gas,,,,
PCAR,Paccar Inc.,NASDAQ,Motor Vehicles & Passenger Car Bodies,,,,
PDD,PDD HOLDINGS INC,NASDAQ GS,"Services-Business Services, NEC",,,,
PEP,Pepsico Inc,NASDAQ,Beverages,,,,
PETR,,,,,,,
PETR3,Petrobras - Petróleo Brasileiro S.A.,B3,,,,,
PFE,Pfizer Inc.,NYSE,Pharmaceutical Preparations,,,,
PG,Procter & Gamble,NYSE,"Soap, Detergents, Cleang Preparations, Perfumes, Cosmetics",,,,
PHG,Koninklijke Philips N.V.,NYSE,X-Ray Apparatus & Tubes & Related Irradiation Apparatus,,,,
PINS,Pinterest,NYSE,"Services-Computer Programming, Data Processing, Etc.",,,,
PKS,Posco Holdings Inc.,NYSE,,,,,
PLTR,Palantir Technologies Inc,NYSE,Services-Prepackaged Software,,,,
PM,Philip Morris International,NYSE,Cigarettes,,,,
PRI3C,,,,,,,
PRIO3,Petro Rio S.A.,B3,,,,,
PSO,,,,,,,
PSQ,PROSHARES SHORT QQQ,NYSE Arca,,,,,
PSX,Phillips 66,NYSE,Petroleum Refining,,,,
PYPL,"Paypal Holdings, Inc.",NASDAQ,"Services-Business Services, NEC",,,,
QCOM,Qualcomm Inc.,NASDAQ,Radio & Tv Broadcasting & Communications Equipment,,,,
QQQ,INVESCO QQQ TRUST,NASDAQ,,sin_clasificar,,,
RACE,Ferrari,NYSE,Motor Vehicles & Passenger Car Bodies,,,,
RBLX,Roblox Corp.,NYSE,Services-Prepackaged Software,,,,
REN3C,,,,,,,
RENT3,Localiza Rent A Car S.A.,B3,,,,,
RGTI,RIGETTI COMPUTING INC,NASDAQ CM,Services-Computer Programming Services,,,,
RIO,Rio Tinto Plc,NYSE,Metal Mining,,,,
RIOT,Riot Platforms,NASDAQ,Finance Services,,,,
RKLB,Rocket Lab Corp,NASDAQ,Guided Missiles & Space Vehicles & Parts,,,,
ROKU,Roku,NASDAQ,Cable & Other Pay Television Services,,,,
ROST,"Ross Stores, Inc.",NASDAQ,Retail-Family Clothing Stores,,,,
RSP,Invesco S&P 500 eql wght ETF,NYSE ARCA,,equiponderado,,,
RTX,Raytheon Technologies Corp,NYSE,Aircraft Engines & Engine Parts,,,,
SAN,Banco Santander S.A,NYSE,"Commercial Banks, NEC",,,,
SAP,Sap Se,NYSE,Services-Prepackaged Software,,,,
SATL,Satellogic Inc.,NASDAQ GS,Radio & Tv Broadcasting & Communications Equipment,,,,
SBS,COMPANHIA DE SANEAMENTO BASICO DO ESTADO DE SAO PAULO-SABESP,,Water Supply,,,,
SBSP3,Cia Saneamento Básico de SP,B3,,,,,
SBSPD,,,,,,,
SBUX,Starbucks Corporation,NASDAQ,Retail-Eating & Drinking Places,,,,
SCCO,Southern Copper Corp,NYSE,Metal Mining,,,,
SCHW,Charles Schwab,NYSE,"Security Brokers, Dealers & Flotation Companies",,,,
SCOOD,,,,,,,
SDA,SunCar Technology Group Inc,NASDAQ,"Services-Automotive Repair, Services & Parking",,,,
SE,Sea Ltd.,NYSE,Services-Miscellaneous Business Services,,,,
SH,PROSHARES SHORT S&P500,NYSE,,,,,
SHEL,Royal Dutch Shell Plc,NYSE,Crude Petroleum & Natural Gas,,,,
SHOP,Shopify Inc.,NYSE,Services-Prepackaged Software,,,,
SID,Companhia Siderúrgica Nacional,NYSE,"Steel Works, Blast Furnaces & Rolling & Finishing Mills",,,,
SIEGC,,,,,,,
SIEGY,Siemens Ag Adr,OTC,,,,,
SLB,Schlumberger Ltd,NYSE,"Oil & Gas Field Services, NEC",,,,
SLV,iShares SILVER TRUST,NYSE Arca,Commodity Contracts Brokers & Dealers,activo_fisico,,,
